date, pm25, pm10, o3, no2, so2, co
2023/7/19, 117, 50, , 11, 2, 5
2023/7/20, 108, 41, , 7, 2, 6
2023/7/21, 94, 18, , 5, 2, 6
2023/7/22, 54, 27, , 7, 2, 5
2023/7/23, 67, 48, , 8, 2, 7
2023/7/24, 108, 27, , 7, 2, 7
2023/7/25, 59, 41, , 8, 2, 6
2023/7/26, 92, 44, , 8, 2, 6
2023/7/27, 107, 35, , 8, 2, 5
2023/7/28, 80, 14, , 6, 2, 4
2023/7/29, 26, 16, , 4, 2, 3
2023/7/30, 47, 23, , 4, , 4
2023/7/31, 56, 31, , 7, , 4
2023/8/1, 75, 30, , 7, 2, 4
2023/8/2, 74, 43, , 6, , 5
2023/8/3, 94, 41, , 5, , 5
2023/8/4, 89, 30, , 7, 2, 6
2023/8/5, 71, 15, , 6, 3, 4
2023/8/6, 23, 26, , 7, 3, 5
2023/8/7, 53, 45, , 6, 2, 8
2023/8/8, 95, 54, , 7, 3, 10
2023/8/9, 125, 27, , 9, 4, 6
2023/8/10, 56, 45, , 10, 3, 6
2023/8/11, 89, 19, , 6, 2, 8
2023/8/12, 51, 25, , 8, 2, 6
2023/8/13, 61, 31, , 8, 2, 6
2023/8/14, 77, 37, , 8, 2, 6
2023/8/15, 73, 46, , 9, 3, 6
2023/8/16, 93, 46, , 11, 4, 11
2023/8/17, 97, 56, , 9, 3, 7
2023/8/18, 117, 55, , 10, 2, 7
2023/8/19, 116, 38, , 11, 3, 7
2023/8/20, 94, 25, , 7, 2, 6
2023/8/21, 62, 19, , 9, 2, 5
2023/8/22, 55, 30, , 14, 3, 4
2023/8/23, 49, 24, , 9, 2, 3
2023/8/24, 56, 49, , 12, 3, 4
2023/8/25, 109, 43, , 13, 3, 7
2023/8/26, 96, 32, , 13, 3, 6
2023/8/27, 67, 29, , 11, 3, 4
2023/8/28, 54, 29, , 9, 3, 2
2023/8/29, 44, 46, , 16, 4, 4
2023/8/30, 75, 43, , 9, 3, 6
2023/8/31, 82, 36, , 10, 3, 6
2023/9/1, 69, 38, , 15, 3, 6
2023/9/2, 72, 65, , 11, 3, 7
2023/9/3, 134, 75, , 13, 2, 8
